Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
AAPL,APPLE INC,Information Technology,Equity,"27,494,560,593.25",7.2,"27,494,560,593.25","141,120,775.00",194.83,United States,NASDAQ,USD,1,USD,-
MSFT,MICROSOFT CORP,Information Technology,Equity,"26,589,227,216.58",6.97,"26,589,227,216.58","71,742,559.00",370.62,United States,NASDAQ,USD,1,USD,-
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"13,353,484,700.52",3.5,"13,353,484,700.52","87,782,571.00",152.12,United States,NASDAQ,USD,1,USD,-
NVDA,NVIDIA CORP,Information Technology,Equity,"11,470,888,749.39",3.01,"11,470,888,749.39","23,842,549.00",481.11,United States,NASDAQ,USD,1,USD,-
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"7,902,755,227.32",2.07,"7,902,755,227.32","57,125,598.00",138.34,United States,NASDAQ,USD,1,USD,-
META,META PLATFORMS INC CLASS A,Communication,Equity,"7,483,517,151.84",1.96,"7,483,517,151.84","21,425,553.00",349.28,United States,NASDAQ,USD,1,USD,-
GOOG,ALPHABET INC CLASS C,Communication,Equity,"6,714,638,282.24",1.76,"6,714,638,282.24","48,078,464.00",139.66,United States,NASDAQ,USD,1,USD,-
TSLA,TESLA INC,Consumer Discretionary,Equity,"6,597,780,918.48",1.73,"6,597,780,918.48","26,696,532.00",247.14,United States,NASDAQ,USD,1,USD,-
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"6,240,948,087.00",1.64,"6,240,948,087.00","17,562,820.00",355.35,United States,New York Stock Exchange Inc.,USD,1,USD,-
AVGO,BROADCOM INC,Information Technology,Equity,"4,704,743,351.66",1.23,"4,704,743,351.66","4,237,057.00","1,110.38",United States,NASDAQ,USD,1,USD,-
JPM,JPMORGAN CHASE & CO,Financials,Equity,"4,647,826,076.05",1.22,"4,647,826,076.05","27,906,491.00",166.55,United States,New York Stock Exchange Inc.,USD,1,USD,-
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"4,606,309,716.24",1.21,"4,606,309,716.24","8,928,168.00",515.93,United States,New York Stock Exchange Inc.,USD,1,USD,-
LLY,ELI LILLY,Health Care,Equity,"4,389,111,645.60",1.15,"4,389,111,645.60","7,697,360.00",570.21,United States,New York Stock Exchange Inc.,USD,1,USD,-
V,VISA INC CLASS A,Financials,Equity,"3,956,062,095.72",1.04,"3,956,062,095.72","15,386,652.00",257.11,United States,New York Stock Exchange Inc.,USD,1,USD,-
XOM,EXXON MOBIL CORP,Energy,Equity,"3,915,728,200.67",1.03,"3,915,728,200.67","38,666,221.00",101.27,United States,New York Stock Exchange Inc.,USD,1,USD,-
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"3,561,553,229.13",0.93,"3,561,553,229.13","23,237,119.00",153.27,United States,New York Stock Exchange Inc.,USD,1,USD,-
HD,HOME DEPOT INC,Consumer Discretionary,Equity,"3,365,788,612.68",0.88,"3,365,788,612.68","9,653,498.00",348.66,United States,New York Stock Exchange Inc.,USD,1,USD,-
MA,MASTERCARD INC CLASS A,Financials,Equity,"3,352,842,955.15",0.88,"3,352,842,955.15","7,993,427.00",419.45,United States,New York Stock Exchange Inc.,USD,1,USD,-
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"3,274,050,790.53",0.86,"3,274,050,790.53","22,750,683.00",143.91,United States,New York Stock Exchange Inc.,USD,1,USD,-
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,"2,824,922,971.00",0.74,"2,824,922,971.00","4,273,711.00",661,United States,NASDAQ,USD,1,USD,-
ADBE,ADOBE INC,Information Technology,Equity,"2,619,653,897.00",0.69,"2,619,653,897.00","4,394,950.00",596.06,United States,NASDAQ,USD,1,USD,-
ABBV,ABBVIE INC,Health Care,Equity,"2,585,173,791.20",0.68,"2,585,173,791.20","17,042,480.00",151.69,United States,New York Stock Exchange Inc.,USD,1,USD,-
MRK,MERCK & CO INC,Health Care,Equity,"2,577,165,549.84",0.68,"2,577,165,549.84","24,460,569.00",105.36,United States,New York Stock Exchange Inc.,USD,1,USD,-
CVX,CHEVRON CORP,Energy,Equity,"2,546,229,805.25",0.67,"2,546,229,805.25","16,946,621.00",150.25,United States,New York Stock Exchange Inc.,USD,1,USD,-
CRM,SALESFORCE INC,Information Technology,Equity,"2,444,327,337.00",0.64,"2,444,327,337.00","9,392,228.00",260.25,United States,New York Stock Exchange Inc.,USD,1,USD,-
PEP,PEPSICO INC,Consumer Staples,Equity,"2,198,932,466.85",0.58,"2,198,932,466.85","13,271,365.00",165.69,United States,NASDAQ,USD,1,USD,-
BAC,BANK OF AMERICA CORP,Financials,Equity,"2,191,831,242.86",0.57,"2,191,831,242.86","66,459,407.00",32.98,United States,New York Stock Exchange Inc.,USD,1,USD,-
KO,COCA-COLA,Consumer Staples,Equity,"2,163,829,180.38",0.57,"2,163,829,180.38","37,559,958.00",57.61,United States,New York Stock Exchange Inc.,USD,1,USD,-
WMT,WALMART INC,Consumer Staples,Equity,"2,116,597,920.83",0.55,"2,116,597,920.83","13,770,073.00",153.71,United States,New York Stock Exchange Inc.,USD,1,USD,-
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,"2,112,768,444.80",0.55,"2,112,768,444.80","15,595,840.00",135.47,United States,NASDAQ,USD,1,USD,-
NFLX,NETFLIX INC,Communication,Equity,"2,067,096,273.66",0.54,"2,067,096,273.66","4,224,858.00",489.27,United States,NASDAQ,USD,1,USD,-
ACN,ACCENTURE PLC CLASS A,Information Technology,Equity,"2,056,776,214.50",0.54,"2,056,776,214.50","6,058,251.00",339.5,United States,New York Stock Exchange Inc.,USD,1,USD,-
MCD,MCDONALDS CORP,Consumer Discretionary,Equity,"2,023,398,452.79",0.53,"2,023,398,452.79","7,001,621.00",288.99,United States,New York Stock Exchange Inc.,USD,1,USD,-
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,"1,947,145,289.40",0.51,"1,947,145,289.40","39,099,303.00",49.8,United States,NASDAQ,USD,1,USD,-
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Equity,"1,937,266,128.00",0.51,"1,937,266,128.00","3,729,600.00",519.43,United States,New York Stock Exchange Inc.,USD,1,USD,-
LIN,LINDE PLC,Materials,Equity,"1,901,995,206.12",0.5,"1,901,995,206.12","4,680,567.00",406.36,United States,NASDAQ,USD,1,USD,-
INTC,INTEL CORPORATION CORP,Information Technology,Equity,"1,862,269,185.92",0.49,"1,862,269,185.92","40,696,442.00",45.76,United States,NASDAQ,USD,1,USD,-
ABT,ABBOTT LABORATORIES,Health Care,Equity,"1,799,075,228.40",0.47,"1,799,075,228.40","16,751,166.00",107.4,United States,New York Stock Exchange Inc.,USD,1,USD,-
WFC,WELLS FARGO,Financials,Equity,"1,729,648,336.68",0.45,"1,729,648,336.68","35,055,702.00",49.34,United States,New York Stock Exchange Inc.,USD,1,USD,-
CMCSA,COMCAST CORP CLASS A,Communication,Equity,"1,713,295,737.40",0.45,"1,713,295,737.40","38,762,347.00",44.2,United States,NASDAQ,USD,1,USD,-
INTU,INTUIT INC,Information Technology,Equity,"1,665,680,263.00",0.44,"1,665,680,263.00","2,705,300.00",615.71,United States,NASDAQ,USD,1,USD,-
